Acceptor,Donor ,DOI,Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),NFA abs max (solutioN),NFA max abs nm (thin film),NFA opt bg,NFA HOMO,NFA LUMO,donor abs solution,donor abs film,donor opt bg,donor HOMO,donor LUMO
SF-HR,P3HT,10.1039/C9RA03188J,1,8.23,49,4.01,475,478,2.2,-5.53,-3.33,,,,-5.14,-3.14
SF-HR,PTB7-Th,10.1039/C9RA03188J,1.15,0.36,31,0.13,,,,,,,,,-5.23,-3.63
SF-OR,P3HT,10.1021/acs.chemmater.6b03323,0.97,7.5,65,4.7,504,538,2.15,-5.5,-3.25,,,,,
SIDIC,J71,10.1021/acsapm.0c00748,0.883,18.3,60.2,9.71,728,759,1.43,-5.44,-3.93,,,,,
SJ-IC,J61,10.1039/C7TA07049G,0.83,16.99,65.95,9.27,,743,1.49,-5.61,-3.94,,600,1.93,-5.32,-3.08
SN6IC,PBDB-T,10.1021/acs.chemmater.8b02276,0.88,16.5,66,9.6,,,,-5.38,-3.93,,,,,
SN6IC-4F,PBDB-T,10.1021/acs.chemmater.8b02276,0.78,23.2,73,13.2,,,,-5.52,-4.11,,,,,
SNBDT1-F,PBDB-T,10.1002/solr.202000234,0.86,20.97,70.4,12.7,726,790,1.41,-5.3,-3.83,,,,-5.3,-2.86
SSBR,J61,10.1016/j.solener.2018.09.077,0.89,8.9,40.65,3.33,,,,,,,,,,
SSBR,P3HT,10.1016/j.solener.2018.09.077,0.74,1.09,29.38,0.26,,,,,,,,,,
SSBR,PBDB-T,10.1016/j.solener.2018.09.077,0.88,9.12,40.45,3.44,,,,,,,,,,
SSBR,PBDT-TS1,10.1016/j.solener.2018.09.077,0.85,11.95,36.85,3.99,,,,,,,,,,
SSBR,PBDTTT-E-T,10.1016/j.solener.2018.09.077,0.83,10.04,38.11,3.36,,,,,,,,,,
SSBR,PTB7-Th,10.1016/j.solener.2018.09.077,0.92,15.91,55.8,8.16,659,662,1.53,-5.44,-3.72,,,,-5.26,-3.62
SSTI,PTB7-Th,10.1002/solr.202000286,0.22,0.53,43,0.05,,866,0.98,-5.71,-4.24,,,,,
S-WSeSe-Cl,PBTB-TF,10.1002/anie.202104766,0.828,26.35,73.41,16.01,768,853,1.3,-5.66,-3.88,,,,,
SY1,PBDB-TF,10.1002/adfm.202000456,0.871,25.41,76,16.83,733,825,,-5.68,-3.95,,,,,
SY2,PBDB-TF,10.1002/adfm.202000456,0.852,25.29,74.3,16.01,739,836,,-5.67,-3.99,,,,,
SY3,PBDB-TF,10.1002/adfm.202000456,0.858,25.54,74.1,16.23,740,838,,-5.69,-3.98,,,,,
S-YSS-Cl,PBTB-TF,10.1002/anie.202104766,0.86,25.85,75.28,16.73,748,835,1.34,-5.71,-3.85,,,,-5.57,-3.73
TB-4Cl,PBDB-TF,10.1021/acsami.1c02652,0.835,23.2,74.56,14.45,730,810,1.42,-5.81,-3.94,,,,,
TBTT-BORH,PTB7-Th,10.1021/acsomega.0c04495,1.02,15.27,54,8.33,540,626,1.83,-5.76,-3.58,,,,-5.17,-3.55
TCIC2F,PBDB-T,10.1002/cssc.202100746,0.713,19.1,64.6,8.8,718,772,1.46,-5.59,-3.89,,,,,
TfIF-4FIC,PBDB-TF,10.1002/aenm.201803657,0.98,17.6,76,13.1,,,,-5.71,-3.96,,,,,
TfIF-IC,PBDB-TF,10.1002/aenm.201803657,1.01,10.8,54,5.9,,,,-5.51,-3.77,,,,-5.45,-3.65
Th-PhCHO,P3HT,10.1039/c3cc47289b,1.03,5.14,45,2.4,,,,,,,,,,
TIDT-BT-R2,PTB7-Th,10.1002/smtd.201700373,1.04,13.1,63.9,8.7,,604,,-5.25,-3.65,,,,-5.15,-3.44
TPBT-RCN,P3HT,10.1021/acs.jpcc.0c07162,0.81,10.29,61.44,5.11,,,,-5.42,-3.71,,,,-5,-3.1
TPD3,J52-Cl,10.1021/acs.jpcc.0c02111,0.97,12.69,62,7.58,,,,-5.65,-3.79,,,,-5.39,-3.45
TPDC-4F,PBDB-TF,10.1039/D1TA03643B,0.852,22.19,70.6,13.35,717,765,1.42,-5.83,-3.99,,,,,
TPDCIC,PBDB-T,10.1007/s10118-019-2309-x,0.83,18.16,67.14,10.12,,,,-5.38,-3.78,,,,-5.33,-3.53
TPDCNC,PBDB-T,10.1007/s10118-019-2309-x,0.8,17.4,70.4,9.8,,,,-5.37,-3.83,,,,,
TPIC,PBDB-T-2Cl,10.1002/solr.202000250,1.003,18.51,71.11,13.2,,,,,,,,,,
TPIC-4Cl,PBDB-T-2Cl,10.1002/solr.202000250,0.885,22.89,75.7,15.4,,,,,,,,,,
TPIC-4F,PBDB-T-2Cl,10.1002/solr.202000250,0.901,22.35,74.2,14.9,,,,,,,,,,
TPQ-Cl,PBDB-TF,10.1016/j.orgel.2021.106282,0.837,25.19,62.99,13.28,,,1.4,-5.64,-4.11,,,,-5.5,-3.61
TPQ-F,PBDB-TF,10.1016/j.orgel.2021.106282,0.857,23.7,66.5,13.51,,,1.43,-5.67,-3.91,,,,,
TPQx-4F,PBDB-TF,10.1039/D0QM00034E,0.94,15.42,54.52,7.75,748,813,1.41,-5.57,-3.74,,,,-5.56,-3.5
TPQx-6F,PBDB-TF,10.1039/D0QM00034E,0.92,22.37,72.16,14.62,740,805,1.43,-5.61,-3.78,,,,,
TPT10,PTQ10,10.1021/jacs.9b09939,0.92,17.25,58.2,9.24,,,,-5.52,-3.99,,,,-5.55,-2.9
TPT10,PTQ11,10.1021/jacs.9b09939,0.88,24.79,74.8,16.32,,,,,,,,,-5.52,-2.76
TPT-2F,PBT1-C,10.1039/C8TA07334A,0.874,13.89,68.6,8.33,662,698,1.64,-5.84,-4.06,,,,-5.43,-3.36
TPTT-2F,PBT1-C,10.1039/C8TA07334A,0.881,15.82,73,10.17,675,717,1.58,-5.75,-4.04,,,,,
TPTTT-2F,PBT1-C,10.1039/C8TA07334A,0.916,17.63,74.5,12.03,687,724,1.56,-5.69,-4.01,,,,,
TR2F-IC4F,PBDB-T,10.1016/j.orgel.2021.106133,0.77,17.95,42.63,5.89,730,820,1.4,-5.57,-3.94,,,,,
TSeTIC,PBDB-T-2F,10.1039/C9TA08328F,0.93,19.42,75.9,13.71,710,733,1.53,-5.65,-3.91,,,,,
TT-FIC,PTB7-Th,10.1002/adma.201804416,0.65,24.7,67,10.8,,,,-5.42,-4.13,,,,,
TTIC,PBDB-T,10.1007/s40843-017-9084-x,0.8,20.58,66,10.87,750,820,1.38,-5.33,-3.87,,,,,
TTIC,PBDB-T-2F,10.1039/C9TA08328F,0.94,18.29,70.1,12.05,690,717,1.58,-5.69,-3.9,,,,-5.45,-3.65
TTIC-F,PBDB-T,10.1007/s40843-017-9084-x,0.71,21.26,63,9.51,756,828,1.35,-5.34,-3.88,,,,,
TTIC-M,PBDB-T,10.1007/s40843-017-9084-x,0.83,19.07,63,9.97,746,783,1.44,-5.3,-3.82,,,,,
TTIDIC,J71,10.1021/acsapm.0c00748,0.914,10.7,66.9,6.54,705,766,1.46,-5.43,-3.92,,,,,
TTPBT-IC,PBDB-T,10.1016/j.nanoen.2020.104718,0.91,21.9,69,13.8,720,781,1.43,-5.69,-3.84,,,,,
TTPTTT-2F,PBT1-C,10.1002/solr.201800246,0.92,16.78,74.6,11.52,697,726,1.54,-5.67,-4.04,,,,,
TTPTTT-4F,PBT1-C,10.1002/solr.201800246,0.863,19.36,72.1,12.05,701,738,1.52,-5.69,-4.12,,,,,
TTPTTT-IC,PBT1-C,10.1002/solr.201800246,0.996,12.47,63.7,7.91,685,700,1.6,-5.64,-3.87,,,,-5.43,-3.36
TTz1,J71,10.1039/C8TA09370A,0.9,15.43,63.2,8.77,578,675,1.65,-5.7,-3.86,,,,-5.4,-3.24
TTz2,J71,10.1039/C8TA09370A,0.92,12.75,53.7,6.3,577,614,1.61,-5.5,-3.8,,,,,
UF-Qx-2Cl,J52,10.1016/j.cej.2021.131473,0.76,22.71,63.09,10.81,772,824,1.29,-5.55,-3.89,,,,,
UF-Qx-2F,J52,10.1016/j.cej.2021.131473,0.78,21.64,62.12,10.54,759,804,1.32,-5.53,-3.84,,,,,
X1-PCIC,PBDB-T,10.1002/smtd.201900531,0.85,17.97,66.82,10.17,,,,-5.35,-3.77,,,,,
X-PCIC,PBDB-T,10.1002/smtd.201900531,0.84,21.8,62.51,11.5,,,,-5.37,-3.79,,,,-5.33,-3.53
Y1,PBDB-T,10.1002/adma.201904215,0.88,21.4,69.5,13.4,,,,,,,,,-5.39,-3.48
Y1,PBDB-TF,10.1002/adma.201904215,0.92,12.9,55.5,7.1,,,,-5.45,-3.95,,,,-5.5,-3.5
Y1,PBDB-T,10.1038/s41467-019-08386-9,0.87,22.44,69.1,13.42,,,,-5.45,-3.95,,,,,
Y11,PBDB-TF,10.1038/s41566-019-0573-5,0.833,26.74,74.33,16.54,,,,,,,,,,
Y14,PBDB-T,10.1039/C9QM00499H,0.798,26.15,71.48,14.92,,,,,,,,,-5.33,-3.53
Y14,PBDB-TF,10.1039/C9QM00499H,0.866,16.83,58.24,8.49,,,,-5.56,-4.01,,,,-5.45,-3.65
Y14,PTB7-Th,10.1039/C9QM00499H,0.788,21.28,62.24,10.44,,,,,,,,,-5.24,-3.66
Y1-4F,PBDB-T,10.1002/adma.201904215,0.74,22.7,57.4,9.9,,,,-5.56,-4.11,,,,,
Y1-4F,PBDB-TF,10.1002/adma.201904215,0.83,25.2,68.5,14.8,,,,,,,,,,
Y18,PBDB-TF,10.1039/D0TA01260B,0.84,24.91,76.4,16.02,,,,-5.58,-3.98,,,,-5.49,-3.6
Y18-1D,P,10.1039/D0SE01343A,0.84,24.53,74,15.25,,,,-5.43,-3.75,,,,-5.38,-3.62
Y19,PBDB-TF,10.1007/s11771-020-4501-0,0.88,22.38,68.18,12.76,776,873,1.308,-5.68,-3.95,,,,-5.52,-3.58
Y2,PBDB-T,10.1038/s41467-019-08386-9,0.82,23.56,69.4,13.4,,,,-5.43,-4.04,,,,-5.39,-3.5
Y22,J71,10.1039/D0TA01636E,0.806,21.7,62.27,10.89,,,,-5.69,-3.94,,,,-5.4,-3.24
Y22,PBDB-TF,10.1039/D0TA01636E,0.853,24.37,74.12,15.4,,,,,,,,,-5.43,-3.42
Y22,QX2,10.1039/D0TA01636E,0.785,23.76,68.07,12.69,,,,,,,,,-5.4,-3.1
Y25,PBDB-TF,10.1002/solr.202100281,0.8,20.19,72.14,11.65,,,,-5.49,-4.06,,,,,
Y26,PBDB-TF,10.1002/solr.202100281,0.83,21.63,74.33,13.34,,,,-5.58,-4.03,,,,-5.5,-3.6
Y3,PBDB-TF,10.1039/D0TA01260B,0.81,24.1,66.4,13.24,,,,-5.55,-4.01,,,,,
Y5,J61,10.1002/adma.201807577,0.9,21.1,58.3,11,,,,-5.55,-3.87,,,,-5.32,-3.08
Y5,PBDB-T,10.1002/adma.201807577,0.88,22.8,70.2,14.1,,,,,,,,,-5.38,-3.5
Y5,TTFQx-T1,10.1002/adma.201807577,0.89,21.2,69.6,13.1,,,,,,,,,-5.31,-3.62
Y5,P3HT,10.1021/acs.jpcc.0c07162,0.59,12.17,50.42,3.6,,,,-5.55,-3.87,,,,,
Y5,PBDB-T,10.1021/jacs.1c00211,0.86,22.7,61.2,11.9,700,789,1.4,-5.55,-3.87,,,,,
Y5,PBDB-T,10.1039/C9TA11285E,0.89,22.31,69,13.78,718,785,1.41,-5.55,-3.82,,,,,
Y6,PBDB-TF,10.1002/adfm.202000456,0.845,25.49,75.1,16.19,733,832,,-5.72,-4,,,,,
Y6,BSFTR,10.1002/adma.201904283,0.85,23.16,69.66,13.69,,,,-5.7,-4.08,,,,-5.59,-3.61
Y6,PTQ10,10.1002/adma.201905480,0.87,24.81,75.1,16.21,,,,,,,,,-5.55,-2.9
Y6,PTQ7,10.1002/adma.201905480,0.71,18.65,43.4,5.75,,,,-5.66,-4.08,,,,-5.38,-2.82
Y6,PTQ8,10.1002/adma.201905480,0.89,3.11,32.5,0.9,,,,,,,,,-5.68,-2.92
Y6,PTQ9,10.1002/adma.201905480,0.82,23.72,54,10.5,,,,,,,,,-5.41,-2.87
Y6,SM1,10.1002/adma.201908373,0.805,23.59,67,12.72,,,,-5.65,-4.1,,,,-5.25,-2.78
Y6,SM1-F,10.1002/adma.201908373,0.866,23.25,69.9,14.07,,,,,,,,,-5.37,-2.81
Y6,SM1-S,10.1002/adma.201908373,0.825,23.23,67.7,12.94,,,,,,,,,-5.32,-2.81
Y6,PBDB-TF,10.1002/adma.202001160,0.842,26.05,72.03,15.79,,,,-5.65,-4.1,,,,,
Y6,PBTB-TF,10.1002/aenm.202003141,0.82,25.3,75.5,15.7,732,,1.35,-5.71,-3.89,,,,-5.6,-3.51
Y6,PBDB-T-2Cl,10.1007/s11426-019-9669-3,0.882,25.605,73.3,17.037,,,,-5.6,-4.1,,,,-5.52,-3.57
Y6,PBDB-TF,10.1007/s11426-019-9669-3,0.839,25.375,73,15.935,,,,,,,,,-5.5,-3.61
Y6,PBDB-TF,10.1007/s11426-021-1114-3,0.841,25.91,77,16.78,,,,,,,,,,
Y6,PTQ10,10.1007/s11426-021-1114-3,0.831,26.28,78.4,17.13,,,,,,,,,,
Y6,PBDB-TF,10.1016/j.joule.2019.01.004,0.83,25.3,74.8,15.7,,,,,,,,,,
Y6,BTR,10.1016/j.joule.2019.09.009,0.85,22.25,56.4,10.67,,,,-5.65,-4.1,520,620,1.78,-5.34,-3.53
Y6,BTR-Cl,10.1016/j.joule.2019.09.009,0.86,24.17,62.5,13.61,,,,,,520,624,1.78,-5.46,-3.7
Y6,PM6,10.1016/j.joule.2019.09.010,0.847,24.02,74.7,15.2,,,,,,,,,,
Y6,PDCBT-Cl,10.1016/j.joule.2020.04.014,0.88,2.2,27.1,0.48,,,,,,,,,,
Y6,J71,10.1016/j.nanoen.2020.104447,0.87,20.54,53.6,9.6,,,,-5.65,-4.1,,,,-5.4,-3.24
Y6,PBDB-TF,10.1016/j.nanoen.2020.104447,0.84,25.24,73.9,15.6,,,,,,,,,-5.47,-3.59
Y6,D16,10.1016/j.scib.2019.10.002,0.85,25.41,74.9,16.22,,,,,,,,,,
Y6,D18,10.1016/j.scib.2020.01.001,0.86,27.7,76.6,18.22,,821,,-5.65,-4.1,,,,,
Y6,PBDB-TF,10.1021/acs.chemmater.0c01245,0.835,24.5,75.6,15.5,,,,-5.62,-4.11,,,,-5.54,-3.65
Y6,P3HT,10.1021/acs.jpcc.0c07162,0.45,11.66,45.49,2.41,,,,-5.65,-4.1,,,,,
Y6,PBB,10.1021/acs.macromol.0c00405,0.84,4.25,42.36,1.51,,,,,,512,551,1.95,-5.54,-3.59
Y6,PBBSe-Cl,10.1021/acs.macromol.0c00405,0.82,24.07,73.16,14.44,,,,-5.65,-4.1,643,645,1.73,-5.36,-3.63
Y6,PBBSe-H,10.1021/acs.macromol.0c00405,0.65,22.23,56.4,8.17,,,,,,651,657,1.71,-5.16,-3.45
Y6,J52-Cl,10.1021/acs.macromol.9b01233,0.84,23.77,61.44,12.31,,,,,,,,,,
Y6,PE31,10.1021/acs.macromol.9b01233,0.8,20.45,48.86,7.62,,,,,,,,,,
Y6,PE32,10.1021/acs.macromol.9b01233,0.75,18.44,53.03,7.31,,,,,,,,,,
Y6,PE4,10.1021/acs.macromol.9b01233,0.84,22.21,75.43,14.02,,,,,,,,,,
Y6,BTR,10.1021/acsaem.1c02534,0.815,21.85,58.27,10.39,,,,,,,,,,
Y6,SM1-Oct,10.1021/acsami.1c15377,0.766,22.39,68.4,11.73,498,570,1.8,-5.12,-2.8,498,570,1.8,-5.12,-2.8
Y6,PBDB-TF,10.1021/acsami.1c16550,0.746,25.98,78.3,17.2,,,,-5.6,-4.1,,,,-5.5,-3.61
Y6,PBDB-TF,10.1021/acsenergylett.0c01364,0.844,25.328,76.9,16.44,,,,-5.6,-4.1,,,,-5.5,-3.61
Y6,J52,10.1021/acsmacrolett.9b00704,0.65,20.43,53.82,7.15,,,,,,,,,-5.12,-3.58
Y6,PIDTTDTffBTA,10.1021/acsmacrolett.9b00704,0.74,22.7,66.73,11.05,,,,-5.65,-4.1,,,,-5.25,-3.63
Y6,PBDB-TF,10.1021/jacs.1c00211,0.84,26.3,68.1,14.9,712,817,1.36,-5.63,-4,,,,,
Y6,P-4FP,10.1038/s41427-019-0163-5,0.8,22.61,70.28,12.71,,,,,,,,,,
Y6,ZR1,10.1038/s41467-019-13292-1,0.861,24.34,68.44,14.34,,,,-5.72,-4.1,,,,-5.32,-3.53
Y6,PBDB-TF,10.1038/s41560-021-00820-x,0.84,25.91,76,16.61,,,,-5.74,-4.07,,,,,
Y6,L1,10.1039/d0ta02427a,0.83,24.11,71.2,14.29,,,,,,,,,,
Y6,PBDB-TF,10.1039/D0TA03985C,0.85,24.66,74.5,15.6,732,831,1.33,-5.65,-4.09,,,,,
Y6,PBDB-TF,10.1039/D0TA06658C,0.83,24.8,74,15.67,729,,1.36,-5.61,-3.84,,,,,
Y6,PBDB-TF,10.1039/D0TA10953C,0.82,25.3,75.5,15.7,733,826,1.37,-5.71,-3.89,,,,-5.6,-3.51
Y6,PBCT-2F,10.1039/D1EE01957K,0.85,27.2,74.3,17.1,,,,,,,,,-5.58,-3.66
Y6,PBDB-TF,10.1039/D1EE01957K,0.81,27,72.9,16,,,,-5.73,-4.07,,,,-5.54,-3.7
Y6,Qx-10F,10.1039/D1TA01500A,0.779,24.83,65.84,12.75,,,,,,612,634,1.69,-5.18,-3.49
Y6,Qx-12F,10.1039/D1TA01500A,0.847,24.55,72.88,15.21,,,,,,612,642,1.72,-5.22,-3.5
Y6,Qx-8F,10.1039/D1TA01500A,0.627,19.06,50.71,6.07,,,,-5.69,-4.14,597,613,1.66,-5.11,-3.45
Y6,3BDT-4,10.1039/D1TA01680F,0.829,17,41.3,5.82,,,,,,522,606,1.83,-5.14,-3.44
Y6,3BDT-5,10.1039/D1TA01680F,0.84,21.3,58.1,10.4,,,,,,512,584,1.9,-5.15,-3.4
Y6,P-FP,10.1039/D1TA04214A,0.815,23.27,70.37,13.34,,,,,,,,,,
Y6,P-FT,10.1039/D1TA04214A,0.745,21.87,65.12,10.61,,,,-5.65,-4.1,,,,,
Y6,W1,10.1016/j.scib.2019.11.030,0.88,25.87,70.7,16.16,,,,-5.36,-2.81,,,,-5.65,-4.1
Y6,TPD-3,10.1002/aenm.202102648,0.83,26.7,68.5,15.2,,,,-5.59,-4.26,,,,-5.14,-3.32
Y6,TPD-3F,10.1002/aenm.202102648,0.87,21.07,62.2,11.4,,,,,,,,,-5.32,-3.5
Y6,PBiTPD,10.1021/acsenergylett.9b02842,0.83,25.6,66.7,14.2,,,,,,610,630,1.78,-5.2,-3.45
Y6,PTPD,10.1021/acsenergylett.9b02842,0.66,19.5,46,5.9,,825,1.33,-5.63,-4.3,612,613,1.86,-5.05,-3.19
Y6,P-CIT,10.1021/acsami.1c00327,0.77,19.71,70.12,10.64,,,,,,,,,,
Y6,P-P,10.1021/acsami.1c00327,0.616,24.2,54.32,8.11,,,,-5.65,-4.1,,,,,
Y6-1O,PBTB-TF,10.1002/aenm.202003141,0.89,23.2,78.3,16.1,715,,1.43,-5.71,-3.84,,,,,
Y6-2O,PBTB-TF,10.1002/aenm.202003141,0.92,13.3,53.5,6.6,701,,1.45,-5.73,-3.76,,,,,
Y6-2Se,PBDB-TF,10.1039/D0TA06658C,0.83,24.32,70,14.94,745,,1.34,-5.58,-3.84,,,,-5.52,-3.55
Y6-4Cl,PBDB-TF,10.1002/adfm.202000456,0.84,25.81,74.1,16.06,746,845,,-5.74,-4.01,,,,,
Y6-O,PBDB-TF,10.1039/D0TA10953C,0.95,22.4,78,16.6,702,768,1.52,-5.75,-3.71,,,,,
Y6-Se,D18,10.1021/jacs.0c08557,0.839,27.98,75.3,17.7,,,,-5.7,-4.15,,,,-5.51,-2.77
Y6-Se,PBDB-TF,10.1039/D0TA06658C,0.82,25.47,75,16.02,745,,1.31,-5.55,-3.83,,,,,
Y6-T,PvBDT-Cl,10.1016/j.jpowsour.2021.229961,0.91,15.31,59.1,8.23,,,,,,580,607,2.04,-5.49,-3.49
Y6-T,PvBDT-F,10.1016/j.jpowsour.2021.229961,0.87,14.28,52.5,6.52,,,,-5.51,-3.86,585,616,2.01,-5.44,-3.45
Y9,PBDB-T,10.1016/j.jechem.2019.07.002,0.9,23.28,63,13.26,720,808,1.36,-5.59,-3.78,622,623,1.86,-5.43,-3.42
Y9-2Br,PBDB-T,10.1039/D1RA01348C,0.84,21.38,67.11,12.05,,855,1.32,-5.53,-3.64,,,,-5.28,-3.48
YF25,P3HT,10.1002/aenm.201200372,0.54,4.85,54.7,1.43,,575,,-5.4,-3.7,,,,-5,-3
YITI-0F,PBDB-T,10.1039/C8TA04405H,0.978,13.4,67.18,8.81,,,,-5.59,-3.88,,,,-5.33,-3.53
YITI-2F,PBDB-T,10.1039/C8TA04405H,0.928,15.54,69.69,10.05,,,,-5.6,-3.92,,,,,
YITI-4F,PBDB-T,10.1039/C8TA04405H,0.825,14.41,55.89,6.64,,,,-5.61,-3.99,,,,,
Y-T,PBDB-TF,10.1016/j.nanoen.2021.106538,1.19,9.21,46.15,5.06,,,,-5.42,-3.7,,,,-5.52,-3.66
ZITI,J71,10.1002/adma.201800403,0.93,20.37,69.49,13.24,,,,,,,,,-5.48,-3.6
ZITI,PBDB-T,10.1002/adma.201800403,0.89,19.8,74.04,13.03,712,747,1.53,-5.59,-3.74,,,,-5.38,-3.53
ZITI,J101 (actually J100),10.1039/C9TA03272J,0.937,21.25,72.48,14.43,,,,-5.53,-3.8,,,,-5.3,-3.5
ZITI,J71,10.1039/C9TA03272J,0.912,20.23,69.49,12.82,,,,,,,,,-5.27,-3.6
ZITI-C,J71,10.1016/j.isci.2019.08.038,0.851,21.3,72.76,13.18,,,,-5.65,-3.81,,,,-5.48,-3.6
ZITI-N,PTQ10,10.1002/aenm.201903298,0.967,12.03,60.68,7.06,,,,-5.53,-3.82,,,,-5.6,-3.52
ZITI-N,J71,10.1016/j.isci.2019.08.038,0.876,21.78,72,13.68,,,,-5.6,-3.81,,,,,
ZITI-S,PTQ10,10.1002/aenm.201903298,0.96,16.94,65.75,10.69,,,,-5.8,-3.87,,,,,
ZITI-S,J71,10.1016/j.isci.2019.08.038,0.811,17.39,64.62,9.12,,,,-5.8,-3.87,,,,,
ZY-4Cl,P3HT,10.1039/D0EE01763A,0.88,16.49,65,9.46,,,,,,,,,,
